"Date","15.0","14.0","13.0","12.0","11.0","10.0","9.0 Pie","16.0","8.1 Oreo","8.0 Oreo","6.0 Marshmallow","7.0 Nougat","5.1 Lollipop","7.1 Nougat","5.0 Lollipop","4.4 KitKat","Other"
2025-02,6.31,37.52,17.47,12.69,12.6,5.86,3.17,0,1.06,1.68,0.58,0.52,0.34,0.15,0.02,0.02,0
2025-03,13.02,33.71,16.68,12.12,11.87,5.6,2.93,0,0.95,1.59,0.54,0.47,0.33,0.13,0.03,0.02,0
2025-04,17.47,30.21,16.37,11.86,11.66,5.53,2.83,0.01,0.91,1.6,0.57,0.44,0.31,0.12,0.08,0.02,0
2025-05,21.95,26.53,16.18,11.7,11.43,5.5,2.75,0.01,0.87,1.59,0.55,0.44,0.3,0.11,0.08,0.02,0
2025-06,27.38,21.79,16.05,11.64,11.31,5.44,2.68,0.06,0.83,1.51,0.48,0.39,0.26,0.1,0.06,0.01,0
2025-07,31.81,18.2,15.74,11.49,11.18,5.36,2.55,0.19,0.84,1.45,0.44,0.36,0.24,0.09,0.06,0.01,0
2025-08,34.49,16.41,15.47,11.24,10.96,5.29,2.49,0.22,0.84,1.43,0.41,0.33,0.22,0.09,0.06,0.01,0
2025-09,34.51,15.04,15.12,11.46,11.22,5.16,2.96,0.24,2.24,0.73,0.48,0.22,0.2,0.25,0.16,0.01,0
2025-10,35.7,14.61,15,11.05,10.85,5.07,2.52,1.6,2.3,0.2,0.39,0.15,0.18,0.24,0.11,0.01,0
2025-11,34.73,14.57,14.87,10.96,10.65,5.09,2.37,3.71,2.13,0.1,0.29,0.13,0.17,0.21,0.02,0.01,0
2025-12,33.9,14.21,14.61,10.83,10.51,5,2.33,5.65,2.06,0.1,0.27,0.12,0.16,0.2,0.03,0.02,0
2026-01,32.77,13.99,14.46,10.62,10.23,4.84,2.27,7.92,1.97,0.1,0.28,0.12,0.17,0.19,0.04,0.02,0
2026-02,31.14,13.89,14.29,10.63,10.33,4.72,2.32,9.71,2.03,0.13,0.3,0.12,0.15,0.19,0.06,0.01,0
